"","volume","diameter4","diameter16","height"
"1",25.93,10.2,9.3,89
"2",45.87,13.72,12.1,90.07
"3",56.2,15.43,13.3,95.08
"4",58.6,14.37,13.4,98.03
"5",63.36,15,14.2,99
"6",46.35,15.02,12.8,91.05
"7",68.99,15.12,14,105.6
"8",62.91,15.24,13.5,100.8
"9",58.13,15.24,14,94
"10",59.79,15.28,13.8,93.09
"11",56.2,13.78,13.6,89
"12",66.16,15.67,14,102
"13",62.18,15.67,13.7,99
"14",57.01,15.98,13.9,89.02
"15",65.62,16.5,14.9,95.09
"16",65.03,16.87,14.9,95.02
"17",66.74,17.26,14.3,91.02
"18",73.38,17.28,14.3,98.06
"19",82.87,17.87,16.9,96.01
"20",95.71,19.13,17.3,101
